STT	Phương thức HTTP	Đường dẫn API
1	GET	/api/v1/bookings
2	GET	/api/v1/bookings/:id
3	GET	/api/v1/bookings/price/calculate
4	POST	/api/v1/bookings
5	PUT	/api/v1/bookings/:id
6	DELETE	/api/v1/bookings/:id
7	PATCH	/api/v1/bookings/:id/payment
8	POST	/api/v1/bookings/:id/resend-email
9	POST	/api/v1/group-bookings
10	GET	/api/v1/group-bookings
11	GET	/api/v1/group-bookings/:id
12	POST	/api/v1/group-bookings/:id/approve
13	GET	/api/v1/group-bookings/:id/template
14	POST	/api/v1/group-bookings/:id/upload
15	POST	/api/v1/group-bookings/:id/quote
16	GET	/api/v1/group-bookings/:id/auto-quote
17	POST	/api/v1/group-bookings/:id/paid
18	POST	/api/v1/group-bookings/:id/full-payment
19	POST	/api/v1/group-bookings/:id/refund
20	POST	/api/v1/group-bookings/:id/confirm
21	POST	/api/v1/group-bookings/:id/cancel
22	GET	/api/v1/group-bookings/:id/members.xlsx

