STT	Phương thức HTTP	Đường dẫn API
1	GET	/api/v1/payments
2	GET	/api/v1/payments/stats
3	GET	/api/v1/payments/sync
4	GET	/api/v1/payments/booking/:bookingId
5	GET	/api/v1/payments/customer/:customerId
6	GET	/api/v1/payments/:id
7	POST	/api/v1/payments
8	PUT	/api/v1/payments/:id
9	PATCH	/api/v1/payments/:id/status
10	DELETE	/api/v1/payments/:id
11	GET	/api/v1/invoices
12	GET	/api/v1/invoices/:id
13	POST	/api/v1/invoices
14	PUT	/api/v1/invoices/:id
15	DELETE	/api/v1/invoices/:id
16	GET	/api/v1/invoices/:id/print
17	POST	/api/stripe/checkout
18	POST	/api/group-checkout

